algo,experiment,desc,val_r2,val_mse,val_rmse,val_mae,train_r2,train_mse,train_rmse,train_mae,diff
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 6, min_child_weight: 8, colsample_bytree: 0.4",0.93395,101727.93104,318.94816,214.52599,0.99714,3112.38574,55.78876,37.93515,740.73405
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 6, min_child_weight: 8, colsample_bytree: 0.6",0.92855,110040.06084,331.72287,224.5234,0.99764,2568.76001,50.68294,34.24718,727.95934
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 6, min_child_weight: 8, colsample_bytree: 0.8",0.93085,106499.56133,326.34271,215.05924,0.99798,2195.23002,46.85328,31.75195,733.3395
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 6, min_child_weight: 10, colsample_bytree: 0.4",0.93455,100798.13761,317.48722,214.52756,0.99682,3456.19722,58.78943,39.78127,742.19499
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 6, min_child_weight: 10, colsample_bytree: 0.6",0.93304,103117.21261,321.11869,213.93432,0.99723,3015.11378,54.91005,36.86668,738.56352
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 6, min_child_weight: 10, colsample_bytree: 0.8",0.94015,92179.20201,303.61028,201.60666,0.99755,2665.88818,51.63224,34.70469,756.07193
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 10, min_child_weight: 4, colsample_bytree: 0.4",0.9195,123978.49303,352.1058,242.59065,0.99999,12.59494,3.54894,2.34707,707.57641
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 10, min_child_weight: 4, colsample_bytree: 0.6",0.92853,110068.78631,331.76616,218.74119,0.99999,7.02442,2.65036,1.73835,727.91605
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 10, min_child_weight: 4, colsample_bytree: 0.8",0.92615,113729.87857,337.23861,218.07744,0.99999,6.10599,2.47103,1.6295,722.4436
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 10, min_child_weight: 5, colsample_bytree: 0.4",0.92192,120243.54122,346.7615,239.56858,0.99998,24.1293,4.91216,3.31397,712.92071
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 10, min_child_weight: 5, colsample_bytree: 0.6",0.93033,107292.50754,327.55535,216.66111,0.99999,15.21393,3.9005,2.60942,732.12686
xgb,25,"hyper-params booster='gbtree', learning_rate: 0.1, n_estimators: 1000, max_depth: 10, min_child_weight: 5, colsample_bytree: 0.8",0.92924,108979.39738,330.12028,214.04634,0.99999,12.16033,3.48717,2.30902,729.56193
